Symbol,Industry,ISIN Code,Indices
DOMS,Fast Moving Consumer Goods,INE321T01012,"NIFTY 500, NIFTY SMALLCAP 250"
DABUR,Fast Moving Consumer Goods,INE016A01026,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY FMCG"
DALBHARAT,Construction Materials,INE00R701025,"NIFTY 500, NIFTY MIDCAP 150"
DATAPATTNS,Capital Goods,INE0IX101010,"NIFTY 500, NIFTY SMALLCAP 250"
DEEPAKFERT,Chemicals,INE501A01019,"NIFTY 500, NIFTY SMALLCAP 250"
DEEPAKNTR,Chemicals,INE288B01029,"NIFTY 500, NIFTY MIDCAP 150"
DELHIVERY,Services,INE148O01028,"NIFTY 500, NIFTY SMALLCAP 250"
DEVYANI,Consumer Services,INE872J01023,"NIFTY 500, NIFTY SMALLCAP 250"
DIVISLAB,Healthcare,INE361B01024,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY PHARMA"
DIXON,Consumer Durables,INE935N01020,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
AGARWALEYE,Healthcare,INE943P01029,"NIFTY 500, NIFTY SMALLCAP 250"
LALPATHLAB,Healthcare,INE600L01024,"NIFTY 500, NIFTY SMALLCAP 250"
DRREDDY,Healthcare,INE089A01031,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY PHARMA"
EIDPARRY,Fast Moving Consumer Goods,INE126A01031,"NIFTY 500, NIFTY SMALLCAP 250"
EIHOTEL,Consumer Services,INE230A01023,"NIFTY 500, NIFTY SMALLCAP 250"
EICHERMOT,Automobile and Auto Components,INE066A01021,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY AUTO"
ELECON,Capital Goods,INE205B01031,"NIFTY 500, NIFTY SMALLCAP 250"
ELGIEQUIP,Capital Goods,INE285A01027,"NIFTY 500, NIFTY SMALLCAP 250"
EMAMILTD,Fast Moving Consumer Goods,INE548C01032,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY FMCG"
EMCURE,Healthcare,INE168P01015,"NIFTY 500, NIFTY SMALLCAP 250"
ENDURANCE,Automobile and Auto Components,INE913H01037,"NIFTY 500, NIFTY MIDCAP 150"
ENGINERSIN,Construction,INE510A01028,"NIFTY 500, NIFTY SMALLCAP 250"
ERIS,Healthcare,INE406M01024,"NIFTY 500, NIFTY SMALLCAP 250"
ESCORTS,Capital Goods,INE042A01014,"NIFTY 500, NIFTY MIDCAP 150"
ETERNAL,Consumer Services,INE758T01015,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
EXIDEIND,Automobile and Auto Components,INE302A01020,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY AUTO"
NYKAA,Consumer Services,INE388Y01029,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
FEDERALBNK,Financial Services,INE171A01029,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY BANK"
FACT,Chemicals,INE188A01015,"NIFTY 500, NIFTY MIDCAP 150"
FINCABLES,Capital Goods,INE235A01022,"NIFTY 500, NIFTY SMALLCAP 250"
FINPIPE,Capital Goods,INE183A01024,"NIFTY 500, NIFTY SMALLCAP 250"
FSL,Services,INE684F01012,"NIFTY 500, NIFTY SMALLCAP 250"
FIVESTAR,Financial Services,INE128S01021,"NIFTY 500, NIFTY SMALLCAP 250"
FORCEMOT,Automobile and Auto Components,INE451A01017,"NIFTY 500, NIFTY SMALLCAP 250"
FORTIS,Healthcare,INE061F01013,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
GAIL,Oil Gas & Consumable Fuels,INE129A01019,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY ENERGY"
GVT&D,Capital Goods,INE200A01026,"NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
GMRAIRPORT,Services,INE776C01039,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
GRSE,Capital Goods,INE382Z01011,"NIFTY 500, NIFTY SMALLCAP 250"
GICRE,Financial Services,INE481Y01014,"NIFTY 500, NIFTY MIDCAP 150"
GILLETTE,Fast Moving Consumer Goods,INE322A01010,"NIFTY 500, NIFTY SMALLCAP 250"
GLAND,Healthcare,INE068V01023,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY PHARMA"
GLAXO,Healthcare,INE159A01016,"NIFTY 500, NIFTY MIDCAP 150"
GLENMARK,Healthcare,INE935A01035,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY PHARMA"
MEDANTA,Healthcare,INE474Q01031,"NIFTY 500, NIFTY MIDCAP 150"
GODIGIT,Financial Services,INE03JT01014,"NIFTY 500, NIFTY SMALLCAP 250"
GPIL,Capital Goods,INE177H01039,"NIFTY 500, NIFTY SMALLCAP 250"
GODFRYPHLP,Fast Moving Consumer Goods,INE260B01028,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
GODREJAGRO,Fast Moving Consumer Goods,INE850D01014,"NIFTY 500, NIFTY SMALLCAP 250"
GODREJCP,Fast Moving Consumer Goods,INE102D01028,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY FMCG"
GODREJIND,Diversified,INE233A01035,"NIFTY 500, NIFTY MIDCAP 150"
GODREJPROP,Realty,INE484J01027,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY REALTY"
GRANULES,Healthcare,INE101D01020,"NIFTY 500, NIFTY SMALLCAP 250"
GRAPHITE,Capital Goods,INE371A01025,"NIFTY 500, NIFTY SMALLCAP 250"
GRASIM,Construction Materials,INE047A01021,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
GRAVITA,Metals & Mining,INE024L01027,"NIFTY 500, NIFTY SMALLCAP 250"
GESHIP,Services,INE017A01032,"NIFTY 500, NIFTY SMALLCAP 250"
FLUOROCHEM,Chemicals,INE09N301011,"NIFTY 500, NIFTY MIDCAP 150"
GUJGASLTD,Oil Gas & Consumable Fuels,INE844O01030,"NIFTY 500, NIFTY MIDCAP 150, NIFTY ENERGY"
GMDCLTD,Metals & Mining,INE131A01031,"NIFTY 500, NIFTY SMALLCAP 250"
GSPL,Oil Gas & Consumable Fuels,INE246F01010,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY ENERGY"
HEG,Capital Goods,INE545A01024,"NIFTY 500, NIFTY SMALLCAP 250"
HBLENGINE,Capital Goods,INE292B01021,"NIFTY 500, NIFTY SMALLCAP 250"
HCLTECH,Information Technology,INE860A01027,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY IT"
HDFCAMC,Financial Services,INE127D01025,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150"
HDFCBANK,Financial Services,INE040A01034,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY BANK"
HDFCLIFE,Financial Services,INE795G01014,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500"
HFCL,Telecommunication,INE548A01028,"NIFTY 500, NIFTY SMALLCAP 250"
HAPPSTMNDS,Information Technology,INE419U01012,"NIFTY 500, NIFTY SMALLCAP 250"
HAVELLS,Consumer Durables,INE176B01034,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
HEROMOTOCO,Automobile and Auto Components,INE158A01026,"NIFTY 200, NIFTY 500, NIFTY MIDCAP 150, NIFTY AUTO"
HEXT,Information Technology,INE093A01041,"NIFTY 500, NIFTY MIDCAP 150"
HSCL,Chemicals,INE019C01026,"NIFTY 500, NIFTY SMALLCAP 250"
HINDALCO,Metals & Mining,INE038A01020,"NIFTY 50, NIFTY 100, NIFTY 200, NIFTY 500, NIFTY METAL"
HAL,Capital Goods,INE066F01020,"NIFTY NEXT 50, NIFTY 100, NIFTY 200, NIFTY 500"
HINDCOPPER,Metals & Mining,INE531E01026,"NIFTY 500, NIFTY SMALLCAP 250, NIFTY METAL"
